numero_mesa,odpe,departamento,provincia,distrito,pagina_fuente,estado
034740,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1,PENDIENTE
034741,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1,PENDIENTE
034742,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1,PENDIENTE
034743,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1,PENDIENTE
034744,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1,PENDIENTE
034745,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1,PENDIENTE
034746,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,2,PENDIENTE
034747,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,2,PENDIENTE
034748,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,2,PENDIENTE
034749,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,2,PENDIENTE
034750,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,2,PENDIENTE
034751,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,2,PENDIENTE
034752,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,3,PENDIENTE
034753,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,3,PENDIENTE
903042,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,3,PENDIENTE
903043,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,3,PENDIENTE
903044,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,3,PENDIENTE
903045,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,3,PENDIENTE
903046,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,4,PENDIENTE
903047,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,4,PENDIENTE
903048,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,4,PENDIENTE
903049,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,4,PENDIENTE
903050,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,4,PENDIENTE
903051,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,4,PENDIENTE
903052,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,5,PENDIENTE
903053,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,5,PENDIENTE
903054,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,5,PENDIENTE
903055,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,5,PENDIENTE
903056,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,5,PENDIENTE
903057,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,5,PENDIENTE
903058,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,6,PENDIENTE
903059,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,6,PENDIENTE
903060,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,6,PENDIENTE
903061,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,6,PENDIENTE
903062,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,6,PENDIENTE
903063,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,6,PENDIENTE
903064,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7,PENDIENTE
903065,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7,PENDIENTE
903066,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7,PENDIENTE
903067,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7,PENDIENTE
903068,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7,PENDIENTE
903069,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7,PENDIENTE
903070,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,8,PENDIENTE
903071,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,8,PENDIENTE
903072,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,8,PENDIENTE
903073,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,CAÑARIS,8,PENDIENTE
034611,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,9,PENDIENTE
034612,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,9,PENDIENTE
034613,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,9,PENDIENTE
034614,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,9,PENDIENTE
034615,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,9,PENDIENTE
034616,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,9,PENDIENTE
034617,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,10,PENDIENTE
034618,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,10,PENDIENTE
034619,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,10,PENDIENTE
034620,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,10,PENDIENTE
034621,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,10,PENDIENTE
034622,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,10,PENDIENTE
034623,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,11,PENDIENTE
034624,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,11,PENDIENTE
034625,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,11,PENDIENTE
034626,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,11,PENDIENTE
034627,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,11,PENDIENTE
034628,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,11,PENDIENTE
034629,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,12,PENDIENTE
034630,LAMBAYEQUE,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,12,PENDIENTE
